date	open	high	low	close	volume	amount	ma5	ma10	ma20	ema12	ema26	rsi14	macd_dif	macd_dea	macd_bar	boll_mid	boll_upper	boll_lower	atr14
2018-02-22	411.39	411.59	402.79	402.79	223850	10103931904.0	402.55	386.91	399.5800000000001	395.99341071888864	396.28106913415456	55.00887019993164	-0.2876584152659234	-2.753365443095172	4.9314140556584976	399.5800000000001	443.6678500985906	355.4921499014096	12.983388479516536
2018-02-23	410.39	410.99	405.79	409.79	149921	6785912320.0	406.51	390.77	398.8000000000001	398.11596291598266	397.2817306797728	57.605738751795776	0.8342322362099139	-2.035845907234155	5.740156286888138	398.8000000000001	441.4951938623936	356.10480613760666	12.641717873836782
2018-02-26	412.39	413.39	404.79	409.39	212521	9607596032.0	407.71	394.05	398.55000000000007	399.8504301596776	398.1786395183081	57.40184891235167	1.6717906413695118	-1.2943185975134217	5.932218477765867	398.55000000000007	440.9181310222175	356.18186897778264	12.353023739991295
2018-02-27	414.39	414.39	398.59	402.39	220089	9892032512.0	407.75	397.91	397.2900000000001	400.2411332120349	398.4905921465816	53.81234459500152	1.7505410654533191	-0.6853466649200735	4.871775460746786	397.2900000000001	437.4638328032721	357.11616719672804	12.59923632999192
2018-02-28	395.39	396.39	387.39	388.59	325601	14167755776.0	402.59	400.17	395.3200000000001	398.4486511794142	397.7572149505385	47.50542189753361	0.6914362288756593	-0.4099900861609269	2.2028526300731723	395.3200000000001	432.9379744271272	357.70202557287286	12.770719449278213
2018-03-01	386.39	403.79	384.39	403.39	271135	11933605888.0	402.71	402.63	394.58	399.20885869027353	398.1744582875357	53.76409500015477	1.0344004027378446	-0.1211119883811726	2.3110247822380345	394.58	430.86227927616574	358.29772072383435	13.244239488615486
2018-03-02	393.39	396.99	392.39	392.39	258915	11341295616.0	399.23	402.87	393.2000000000001	398.15980350715455	397.7459798958664	49.080370866475626	0.4138236112881941	-0.0141248684472992	0.8558969594709868	393.2000000000001	427.4558731038236	358.9441268961765	13.083936668000096
2018-03-05	392.39	395.99	381.39	381.39	240387	10358474752.0	393.63000000000005	400.6700000000001	391.4500000000001	395.5798337368231	396.5344258295059	44.87071458486606	-0.9545920926828444	-0.2022183132944083	-1.5047475587768722	391.4500000000001	424.2633733968974	358.6366266031028	13.19222690600009
2018-03-06	391.39	400.39	386.39	394.99	248125	10862231552.0	392.15	399.9500000000001	390.7600000000001	395.4890900850041	396.4200239162092	50.52123629217399	-0.9309338312050954	-0.3479614168765457	-1.1659448286570997	390.7600000000001	422.6041666144432	358.9158333855569	13.6070678412858
2018-03-07	391.59	397.59	386.39	390.59	192566	8378697728.0	392.55	397.5700000000001	390.42	394.7353839180804	395.9881702927863	48.77926928105179	-1.2527863747058632	-0.5289264084424092	-1.447719932526908	390.42	422.1109484005499	358.72905159945014	13.435134424051098
2018-03-08	396.39	400.39	394.39	399.39	175064	7737290752.0	391.75	397.2300000000001	392.0700000000001	395.4514786999142	396.2401576785058	52.32018202173247	-0.7886789785915767	-0.5808769224722428	-0.4156041122386678	392.0700000000001	421.8731153440463	362.26688465595385	13.175481965190306
2018-03-09	401.39	404.59	401.39	403.39	130251	5813403648.0	393.95	396.59	393.68000000000006	396.6727896691582	396.7697756282461	53.88085775828032	-0.0969859590879309	-0.4840987297953804	0.774225541414899	393.68000000000006	422.1844705634969	365.1755294365032	12.605804681962423
2018-03-12	411.79	416.39	411.19	416.39	255130	11660311552.0	400.95	397.2900000000001	395.67	399.7062066431338	398.2231255817093	58.621340318779104	1.4830810614245138	-0.0906627715514016	3.147487665951831	395.67	424.7030918273033	366.6369081726968	12.63396149039368
2018-03-13	416.39	419.19	412.19	419.19	185016	8515214336.0	405.79	398.97	398.44	402.7037133134209	399.7762273904716	59.58491242291893	2.9274859229493586	0.5129669673487505	4.829037911201216	398.44	425.1441096778043	371.7358903221956	12.231535669651276
2018-03-14	413.79	420.19	409.99	419.99	226118	10323251200.0	411.67	402.11	401.14	405.3631420344331	401.2735438800663	59.87243190589235	4.089598154366854	1.2282932047523714	5.722609899228965	401.14	424.7725823254339	377.50741767456606	12.086425978961898
2018-03-15	415.59	426.39	414.39	424.99	247026	11506629632.0	416.79	404.27	403.4500000000001	408.3826586445204	403.0303184074687	61.70608922513156	5.352340237051635	2.053102611212224	6.598475251678822	403.4500000000001	426.9153069781527	379.9846930218474	12.080252694750335
2018-03-16	423.39	429.19	421.59	421.59	238990	11179190272.0	420.43	407.19000000000005	405.03	410.41455731459416	404.4051096365451	59.708059749662034	6.009447678049071	2.8443716245795936	6.330152106938955	405.03	428.93070688230114	381.1292931176989	11.760234645125314
2018-03-19	421.39	426.79	418.19	418.19	162870	7584356864.0	420.79	410.87000000000006	405.77	411.61077926619504	405.4262126264307	57.69616392075509	6.184566639764341	3.512410627616543	5.344312024295596	405.77	430.3633324297459	381.17666757025415	11.534503599044935
2018-03-20	412.79	424.79	412.39	422.99	219533	10158755840.0	421.55	413.6700000000001	406.81	413.3614286098573	406.7272339133617	59.757751431203125	6.634194696495626	4.13676744139236	4.994854510206533	406.81	432.5005962726072	381.11940372739286	11.596324770541727
