date	open	high	low	close	volume	amount	ma5	ma10	ma20	ema12	ema26	rsi14	macd_dif	macd_dea	macd_bar	boll_mid	boll_upper	boll_lower	atr14
2024-01-02	296.6	301.6	291.0	293.2	233541	6962384384.0	285.04	297.28	302.02000000000004	296.2586682894341	301.50722655625657	44.600111383394925	-5.248558266822442	-3.286520093496122	-3.924076346652641	302.02000000000004	324.85004483942225	279.1899551605778	11.56187318816413
2024-01-03	290.6	298.2	289.0	297.2	203917	6085147648.0	290.36	295.9	301.1	296.4034885525981	301.1881727372746	47.27854407248901	-4.784684184676507	-3.5861529117321997	-2.397062545888616	301.1	323.0934918603695	279.10650813963053	11.39316796043812
2024-01-04	301.0	301.0	294.6	295.4	202174	6060645376.0	293.12	294.62000000000006	300.2	296.24910569835225	300.7594192011802	46.19617576491417	-4.510313502827955	-3.770985029951351	-1.478656945753209	300.2	321.53758729520666	278.8624127047933	11.03651310612111
2024-01-05	292.0	293.2	286.2	288.8	237450	6955882496.0	292.96	292.66	299.36999999999995	295.1030894370673	299.87353629738914	42.36627624006143	-4.77044686032184	-3.9708773960254486	-1.599138928592783	299.36999999999995	321.14290445537006	277.59709554462984	10.90533359854103
2024-01-08	291.0	291.2	281.8	284.6	167185	4808946176.0	291.84000000000003	290.04	298.19	293.48722952367234	298.74216323832326	40.08859854982173	-5.254933714650917	-4.227688659750543	-2.0544901098007493	298.19	320.49939382038895	275.88060617961105	10.797809770073812
2024-01-09	282.6	285.8	280.0	280.2	169275	4836417536.0	289.24	287.14	296.98	291.4430403661843	297.3686696651141	37.79611013516948	-5.9256292989298345	-4.567276787586401	-2.7167050226868668	296.98	320.4653235245817	273.4946764754183	10.440823357925684
2024-01-10	278.6	281.8	273.4	276.8	191461	5366551040.0	285.16	287.76	295.71	289.19026492523284	295.8450645047353	36.07917534116651	-6.65479957950248	-4.984781345969617	-3.340036467065726	295.71	320.70531745624544	270.7146825437545	10.295050260930996
2024-01-11	277.2	289.0	276.6	284.0	206046	5923779072.0	282.88	288.0	294.72	288.3917626290432	294.9676523191993	42.07953144404481	-6.575889690156146	-5.303003014806923	-2.545773350698445	294.72	319.9336637977688	269.5063362022312	10.445403813721638
2024-01-12	282.2	289.6	281.4	285.0	157701	4564846592.0	282.12	287.54	293.56999999999994	287.8699529938058	294.2293077029624	42.88151146554953	-6.359354709156548	-5.514273353676848	-1.6901627109594006	293.56999999999994	318.3272721905595	268.8127278094404	10.28501782702724
2024-01-15	286.6	290.4	284.2	286.0	163344	4735733248.0	282.40000000000003	287.12000000000006	292.69	287.5822679178357	293.6197293545947	43.720710113339855	-6.037461436759031	-5.618910970293285	-0.8371009329314916	292.69	317.1960594010969	268.1839405989031	9.993230839382436
2024-01-16	280.4	285.4	276.6	279.0	222361	6296368128.0	282.16	285.7	291.49	286.2619190073994	292.5367864394396	39.36118705064861	-6.274867432040196	-5.7501022626426685	-1.049530338795055	291.49	316.2197732341444	266.76022676585563	9.950857207997974
2024-01-17	273.6	275.4	268.8	271.2	361142	9920053248.0	281.04	283.1	289.49999999999994	283.94470069856874	290.95628374022186	35.154727178435806	-7.011583041653125	-6.00239841844476	-2.0183692464167304	289.49999999999994	314.02393031095187	264.976069689048	9.968653121712403
2024-01-18	271.2	275.8	267.8	274.2	246041	6776283136.0	279.08000000000004	280.98	287.8	282.445515975712	289.7150775372425	37.90342831502599	-7.269561561530509	-6.255831047061911	-2.0274610289371964	287.8	311.56800148810464	264.0319985118954	9.82803504159009
2024-01-19	271.6	279.2	264.8	267.8	268975	7357693440.0	275.64	278.88	285.7699999999999	280.1923596717563	288.0917384604097	34.53976879307089	-7.899378788653394	-6.584540595380207	-2.629676386546373	285.7699999999999	309.0603051888803	262.47969481111954	10.154603967190797
2024-01-22	267.2	268.2	256.8	258.8	336548	8880717824.0	270.2	276.30000000000007	283.17	276.90122741456304	285.92198005593497	30.44776378651756	-9.020752641371928	-7.071783004578552	-3.897939273586752	283.17	306.30467208830305	260.03532791169687	10.243560826677168
2024-01-23	263.4	274.8	259.8	268.6	356108	9683595264.0	268.12000000000006	275.14	281.14	275.62411550463025	284.638870422162	38.93175858702267	-9.014754917531718	-7.460377387169186	-3.1087550607250645	281.14	301.6316825232416	260.6483174767584	10.654735053343083
2024-01-24	276.2	281.0	268.8	278.4	338636	9417935872.0	269.56	275.3	281.53000000000003	276.0511746577641	284.17673187237216	46.02242925292506	-8.12555721460808	-7.593413352656965	-1.064287723902229	281.53000000000003	301.4664358320627	261.59356416793736	10.77939683524715
2024-01-25	281.6	288.6	277.4	287.4	341608	9841463296.0	272.20000000000005	275.64000000000004	281.82000000000005	277.7971477873388	284.41549247441867	51.58244328754024	-6.618344687079855	-7.398399619541544	1.560109864923378	281.82000000000005	301.9287150522945	261.7112849477056	10.809439918443784
2024-01-26	284.8	286.8	277.8	279.4	248158	7079876096.0	274.52	275.08000000000004	281.30999999999995	278.0437404354405	284.04397451335063	46.95271577750754	-6.000234077910079	-7.118766511215251	2.2370648666103445	281.30999999999995	301.10281102882544	261.51718897117445	10.723051352840654
2024-01-29	282.6	285.0	276.0	278.6	201590	5699931136.0	278.48	274.34000000000003	280.73	278.12931882998816	283.64071714199133	46.50322449617695	-5.511398312003166	-6.797292871372835	2.5717891187393374	280.73	300.1012864013687	261.3587135986313	10.599976256209178
2024-01-30	273.8	276.6	269.6	270.4	215060	5913403904.0	278.84	273.4800000000001	279.59	276.9401928561438	282.65992327962164	42.05870329054014	-5.719730423477813	-6.581780381793831	1.724099916632035	279.59	298.55055739802657	260.6294426019734	10.485692237908522
2024-01-31	270.4	274.6	265.0	267.2	200530	5438242304.0	276.6	273.08000000000004	278.09000000000003	275.4417016475063	281.51474377742744	40.43459198505366	-6.073042129921134	-6.480032731419292	0.8139812029963149	278.09000000000003	295.89619643777735	260.2838035622227	10.422428506629345
2024-02-01	266.6	274.4	264.6	268.2	173295	4720878080.0	272.76	272.48	276.73	274.3275937017361	280.528466460581	41.198746528716185	-6.200872758844923	-6.424200736904418	0.44665595611899	276.73	293.0635109192465	260.39648908075355	10.377969327584388
2024-02-02	281.2	284.2	271.6	276.0	310538	8741240832.0	272.08	273.3	276.09000000000003	274.5848869783921	280.193024500538	46.91888333019904	-5.60813752214591	-6.260988093952717	1.3057011436136143	276.09000000000003	291.4034134529414	260.7765865470587	10.779542947042646
2024-02-05	275.0	280.0	270.4	276.2	204566	5693720064.0	271.6	275.04	275.67	274.8333659047933	279.8972449079056	47.06108834644164	-5.063879003112277	-6.021566275784629	1.9153745453447044	275.67	290.4522226090984	260.88777739090165	10.695289879396745
2024-02-06	276.4	289.2	276.2	287.4	288569	8307954688.0	275.0	276.92	276.03	276.7666942271328	280.45300454435704	54.42449908777692	-3.68631031722424	-5.554515084072551	3.736409533696621	276.03	291.6061085607579	260.45389143924206	10.859912030868406
2024-02-07	291.6	293.6	285.4	288.8	263437	7718411776.0	279.32	277.96	276.63	278.6179720383431	281.0713005040343	55.26217036802659	-2.453328465691186	-4.934277760396278	4.961898589410184	276.63	293.22233811770667	260.0376618822933	10.66991831437781
2024-02-08	286.6	289.8	283.0	283.8	179107	5168657920.0	282.44	277.6	276.62000000000006	279.41520710936726	281.27342639262434	51.61351955461508	-1.8582192832570852	-4.31906606496844	4.921693563422709	276.62000000000006	293.19386655652073	260.0461334434794	10.393495577636536
2024-02-09	281.2	284.0	278.0	283.8	67321	1913725696.0	284.0	278.04	276.56000000000006	280.08979063100304	281.4605799931707	51.613519554615074	-1.3707893621676703	-3.729410724408286	4.717242724481231	276.56000000000006	293.0143899118198	260.1056100881803	10.079674464948214
2024-02-14	283.6	287.8	278.6	286.6	115674	3330238464.0	286.08	278.84000000000003	276.59000000000003	281.0913613031564	281.8412777714544	53.60305264100282	-0.749916468297954	-3.13351187318622	4.767190809776531	276.59000000000003	293.1188774414798	260.06112255852025	10.01684057459477
2024-02-15	285.2	286.6	281.6	282.0	125680	3601580288.0	285.0	280.0	276.74000000000007	281.2311518719016	281.85303497356887	49.96805556288655	-0.6218831016672652	-2.631186118882429	4.018606034430327	276.74000000000007	293.41477136280366	260.06522863719647	9.658494819266574
